Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 02, 2021","34,642.42","34,821.93","34,613.49","34,786.35","34,786.35","30,18,60,000"
"Jul 01, 2021","34,507.32","34,640.28","34,498.85","34,633.53","34,633.53","26,82,80,000"
"Jun 30, 2021","34,290.74","34,553.16","34,245.48","34,502.51","34,502.51","29,55,60,000"
"Jun 29, 2021","34,338.89","34,469.83","34,266.83","34,292.29","34,292.29","28,23,60,000"
"Jun 28, 2021","34,428.10","34,449.65","34,186.13","34,283.27","34,283.27","28,02,80,000"
"Jun 25, 2021","34,328.10","34,501.02","34,314.80","34,433.84","34,433.84","43,25,50,000"
"Jun 24, 2021","33,933.91","34,233.02","33,933.91","34,196.82","34,196.82","27,58,70,000"
"Jun 23, 2021","33,948.54","34,009.40","33,869.83","33,874.24","33,874.24","25,52,80,000"
"Jun 22, 2021","33,872.56","34,040.70","33,751.06","33,945.58","33,945.58","28,41,30,000"
"Jun 21, 2021","33,312.07","33,908.09","33,312.07","33,876.97","33,876.97","31,72,60,000"
"Jun 18, 2021","33,622.70","33,622.70","33,271.93","33,290.08","33,290.08","56,39,20,000"
"Jun 17, 2021","34,014.38","34,091.79","33,626.61","33,823.45","33,823.45","35,46,90,000"
"Jun 16, 2021","34,308.48","34,333.25","33,917.11","34,033.67","34,033.67","34,71,50,000"
"Jun 15, 2021","34,397.10","34,420.38","34,199.16","34,299.33","34,299.33","27,24,30,000"
"Jun 14, 2021","34,472.52","34,472.52","34,211.54","34,393.75","34,393.75","29,55,30,000"
"Jun 11, 2021","34,499.81","34,618.09","34,328.65","34,479.60","34,479.60","26,08,40,000"
"Jun 10, 2021","34,502.51","34,737.79","34,447.25","34,466.24","34,466.24","30,93,10,000"
"Jun 09, 2021","34,626.16","34,654.67","34,439.37","34,447.14","34,447.14","24,51,00,000"
"Jun 08, 2021","34,645.84","34,665.38","34,452.94","34,599.82","34,599.82","28,94,40,000"
"Jun 07, 2021","34,766.20","34,820.91","34,574.51","34,630.24","34,630.24","25,91,20,000"
"Jun 04, 2021","34,618.69","34,772.12","34,618.69","34,756.39","34,756.39","27,00,50,000"
"Jun 03, 2021","34,550.31","34,667.41","34,334.41","34,577.04","34,577.04","29,73,80,000"
"Jun 02, 2021","34,614.62","34,706.65","34,545.96","34,600.38","34,600.38","26,38,10,000"
"Jun 01, 2021","34,584.19","34,849.32","34,542.87","34,575.31","34,575.31","28,77,00,000"
"May 28, 2021","34,558.50","34,631.11","34,520.09","34,529.45","34,529.45","29,08,50,000"
"May 27, 2021","34,432.47","34,608.82","34,389.24","34,464.64","34,464.64","52,06,30,000"
"May 26, 2021","34,336.34","34,409.59","34,271.44","34,323.05","34,323.05","25,87,80,000"
"May 25, 2021","34,428.66","34,511.35","34,266.03","34,312.46","34,312.46","28,57,60,000"
"May 24, 2021","34,253.87","34,472.51","34,253.87","34,393.98","34,393.98","25,10,10,000"
"May 21, 2021","34,121.91","34,415.48","34,121.91","34,207.84","34,207.84","30,63,60,000"
"May 20, 2021","33,906.30","34,233.40","33,872.41","34,084.15","34,084.15","32,01,50,000"
"May 19, 2021","33,945.81","33,945.81","33,473.80","33,896.04","33,896.04","34,84,80,000"
"May 18, 2021","34,351.18","34,408.99","34,044.10","34,060.66","34,060.66","28,95,90,000"
"May 17, 2021","34,375.29","34,383.84","34,176.65","34,327.79","34,327.79","29,19,10,000"
"May 14, 2021","34,050.86","34,454.05","34,050.86","34,382.13","34,382.13","30,32,30,000"
"May 13, 2021","33,624.74","34,181.77","33,623.49","34,021.45","34,021.45","35,08,20,000"
"May 12, 2021","34,206.40","34,207.87","33,555.22","33,587.66","33,587.66","38,13,50,000"
"May 11, 2021","34,572.74","34,572.74","34,075.31","34,269.16","34,269.16","41,31,80,000"
"May 10, 2021","34,785.27","35,091.56","34,741.57","34,742.82","34,742.82","36,16,20,000"
"May 07, 2021","34,578.27","34,811.39","34,464.31","34,777.76","34,777.76","30,34,00,000"
"May 06, 2021","34,245.11","34,561.29","34,185.06","34,548.53","34,548.53","31,54,30,000"
"May 05, 2021","34,163.99","34,331.20","34,039.66","34,230.34","34,230.34","25,31,80,000"
"May 04, 2021","34,080.20","34,147.78","33,765.68","34,133.03","34,133.03","40,78,60,000"
"May 03, 2021","33,904.89","34,221.06","33,904.89","34,113.23","34,113.23","28,97,70,000"
"Apr 30, 2021","33,988.75","33,988.75","33,784.96","33,874.85","33,874.85","37,48,90,000"
"Apr 29, 2021","33,855.64","34,087.21","33,744.28","34,060.36","34,060.36","40,84,50,000"
"Apr 28, 2021","33,860.46","33,946.60","33,805.56","33,820.38","33,820.38","33,58,20,000"
"Apr 27, 2021","33,932.13","34,043.98","33,870.46","33,984.93","33,984.93","28,90,30,000"
"Apr 26, 2021","34,044.23","34,148.94","33,941.37","33,981.57","33,981.57","27,93,00,000"
"Apr 23, 2021","33,804.52","34,157.57","33,713.29","34,043.49","34,043.49","34,63,80,000"
"Apr 22, 2021","34,109.88","34,126.57","33,717.19","33,815.90","33,815.90","34,44,70,000"
"Apr 21, 2021","33,808.30","34,160.34","33,773.80","34,137.31","34,137.31","29,03,00,000"
"Apr 20, 2021","34,034.18","34,034.18","33,687.01","33,821.30","33,821.30","35,09,60,000"
"Apr 19, 2021","34,182.38","34,182.38","33,980.56","34,077.63","34,077.63","31,25,40,000"
"Apr 16, 2021","34,058.16","34,256.75","34,058.16","34,200.67","34,200.67","34,37,60,000"
"Apr 15, 2021","33,788.53","34,068.73","33,788.53","34,035.99","34,035.99","31,96,80,000"
"Apr 14, 2021","33,668.95","33,911.25","33,668.95","33,730.89","33,730.89","31,53,30,000"
"Apr 13, 2021","33,721.16","33,741.64","33,545.84","33,677.27","33,677.27","32,44,80,000"
"Apr 12, 2021","33,775.06","33,786.19","33,665.54","33,745.40","33,745.40","32,73,70,000"
"Apr 09, 2021","33,526.19","33,810.87","33,526.19","33,800.60","33,800.60","31,64,10,000"
"Apr 08, 2021","33,469.89","33,506.80","33,342.64","33,503.57","33,503.57","30,40,40,000"
"Apr 07, 2021","33,444.98","33,521.76","33,347.96","33,446.26","33,446.26","27,34,40,000"
"Apr 06, 2021","33,500.02","33,544.79","33,380.43","33,430.24","33,430.24","29,79,40,000"
"Apr 05, 2021","33,222.38","33,617.95","33,222.38","33,527.19","33,527.19","34,42,70,000"
"Apr 01, 2021","33,054.58","33,167.17","32,985.35","33,153.21","33,153.21","31,18,80,000"
"Mar 31, 2021","33,116.04","33,173.77","32,980.57","32,981.55","32,981.55","41,41,40,000"
"Mar 30, 2021","33,127.88","33,170.93","32,988.92","33,066.96","33,066.96","30,75,10,000"
"Mar 29, 2021","33,087.55","33,259.00","32,905.13","33,171.37","33,171.37","35,16,10,000"
"Mar 26, 2021","32,681.07","33,098.83","32,681.07","33,072.88","33,072.88","38,21,70,000"
"Mar 25, 2021","32,346.81","32,672.69","32,071.41","32,619.48","32,619.48","41,19,90,000"
"Mar 24, 2021","32,470.88","32,787.99","32,418.15","32,420.06","32,420.06","39,93,90,000"
"Mar 23, 2021","32,691.50","32,753.77","32,356.28","32,423.15","32,423.15","38,58,40,000"
"Mar 22, 2021","32,601.82","32,810.35","32,512.53","32,731.20","32,731.20","38,35,00,000"
"Mar 19, 2021","32,858.36","32,858.36","32,505.07","32,627.97","32,627.97","81,18,90,000"
"Mar 18, 2021","32,928.16","33,227.78","32,831.25","32,862.30","32,862.30","41,84,80,000"
"Mar 17, 2021","32,825.52","33,047.58","32,782.18","33,015.37","33,015.37","39,12,00,000"
"Mar 16, 2021","32,966.75","32,966.75","32,778.23","32,825.95","32,825.95","38,63,70,000"
"Mar 15, 2021","32,798.84","32,973.40","32,629.75","32,953.46","32,953.46","36,00,80,000"
"Mar 12, 2021","32,462.40","32,793.32","32,462.40","32,778.64","32,778.64","34,64,00,000"
"Mar 11, 2021","32,354.50","32,661.59","32,345.70","32,485.59","32,485.59","40,00,20,000"
"Mar 10, 2021","31,906.96","32,389.50","31,906.96","32,297.02","32,297.02","40,91,10,000"
"Mar 09, 2021","31,892.35","32,150.32","31,822.64","31,832.74","31,832.74","45,86,90,000"
"Mar 08, 2021","31,512.15","32,148.04","31,512.15","31,802.44","31,802.44","49,69,80,000"
"Mar 05, 2021","31,029.18","31,580.33","30,766.81","31,496.30","31,496.30","50,18,10,000"
"Mar 04, 2021","31,289.01","31,461.97","30,547.53","30,924.14","30,924.14","53,78,50,000"
"Mar 03, 2021","31,352.96","31,563.31","31,260.14","31,270.09","31,270.09","40,96,60,000"
"Mar 02, 2021","31,535.37","31,623.27","31,377.16","31,391.52","31,391.52","33,72,70,000"
"Mar 01, 2021","31,065.90","31,668.34","31,065.90","31,535.51","31,535.51","38,56,70,000"
"Feb 26, 2021","31,401.29","31,450.89","30,911.37","30,932.37","30,932.37","53,22,50,000"
"Feb 25, 2021","31,955.94","31,984.77","31,293.32","31,402.01","31,402.01","45,41,10,000"
"Feb 24, 2021","31,499.75","32,009.64","31,421.29","31,961.86","31,961.86","41,01,50,000"
"Feb 23, 2021","31,501.89","31,653.38","31,158.76","31,537.35","31,537.35","46,04,10,000"
"Feb 22, 2021","31,381.12","31,653.48","31,286.57","31,521.69","31,521.69","38,72,10,000"
"Feb 19, 2021","31,504.13","31,647.53","31,469.34","31,494.32","31,494.32","35,30,70,000"
"Feb 18, 2021","31,558.60","31,558.60","31,285.32","31,493.34","31,493.34","32,59,90,000"
"Feb 17, 2021","31,485.61","31,643.70","31,338.76","31,613.02","31,613.02","34,35,10,000"
"Feb 16, 2021","31,472.08","31,608.63","31,443.48","31,522.75","31,522.75","32,92,10,000"
"Feb 12, 2021","31,420.80","31,475.31","31,347.80","31,458.40","31,458.40","26,30,90,000"
"Feb 11, 2021","31,466.49","31,543.82","31,244.36","31,430.70","31,430.70","28,03,20,000"
"Feb 10, 2021","31,428.02","31,511.44","31,221.32","31,437.80","31,437.80","32,64,50,000"
"Feb 09, 2021","31,359.88","31,439.47","31,245.86","31,375.83","31,375.83","30,82,10,000"
"Feb 08, 2021","31,191.20","31,386.10","31,191.20","31,385.76","31,385.76","32,22,50,000"
"Feb 05, 2021","31,093.81","31,252.18","31,083.22","31,148.24","31,148.24","29,35,50,000"
"Feb 04, 2021","30,737.78","31,065.96","30,737.78","31,055.86","31,055.86","33,83,30,000"
"Feb 03, 2021","30,689.65","30,793.41","30,521.31","30,723.60","30,723.60","30,55,90,000"
"Feb 02, 2021","30,276.88","30,840.54","30,276.88","30,687.48","30,687.48","33,31,60,000"
"Feb 01, 2021","30,054.73","30,335.91","30,014.97","30,211.91","30,211.91","34,70,60,000"
"Jan 29, 2021","30,553.91","30,553.91","29,856.30","29,982.62","29,982.62","53,63,20,000"
"Jan 28, 2021","30,377.19","30,951.41","30,377.19","30,603.36","30,603.36","46,51,40,000"
"Jan 27, 2021","30,893.78","30,893.78","30,206.91","30,303.17","30,303.17","56,64,70,000"
"Jan 26, 2021","30,968.55","31,121.42","30,921.71","30,937.04","30,937.04","37,31,50,000"
"Jan 25, 2021","30,989.85","30,989.85","30,564.06","30,960.00","30,960.00","47,28,90,000"
"Jan 22, 2021","31,141.56","31,141.56","30,908.47","30,996.98","30,996.98","43,60,40,000"
